OBS,month,x
1,1,112
2,2,118
3,3,132
4,4,129
5,5,121
6,6,135
7,7,148
8,8,148
9,9,136
10,10,119
11,11,104
12,12,118
13,1,115
14,2,126
15,3,141
16,4,135
17,5,125
18,6,149
19,7,170
20,8,170
21,9,158
22,10,133
23,11,114
24,12,140
25,1,145
26,2,150
27,3,178
28,4,163
29,5,172
30,6,178
31,7,199
32,8,199
33,9,184
34,10,162
35,11,146
36,12,166
37,1,171
38,2,180
39,3,193
40,4,181
41,5,183
42,6,218
43,7,230
44,8,242
45,9,209
46,10,191
47,11,172
48,12,194
49,1,196
50,2,196
51,3,236
52,4,235
53,5,229
54,6,243
55,7,264
56,8,272
57,9,237
58,10,211
59,11,180
60,12,201
61,1,204
62,2,188
63,3,235
64,4,227
65,5,234
66,6,264
67,7,302
68,8,293
69,9,259
70,10,229
71,11,203
72,12,229
73,1,242
74,2,233
75,3,267
76,4,269
77,5,270
78,6,315
79,7,364
80,8,347
81,9,312
82,10,274
83,11,237
84,12,278
85,1,284
86,2,277
87,3,317
88,4,313
89,5,318
90,6,374
91,7,413
92,8,405
93,9,355
94,10,306
95,11,271
96,12,306
97,1,315
98,2,301
99,3,356
100,4,348
101,5,355
102,6,422
103,7,465
104,8,467
105,9,404
106,10,347
107,11,305
108,12,336
109,1,340
110,2,318
111,3,362
112,4,348
113,5,363
114,6,435
115,7,491
116,8,505
117,9,404
118,10,359
119,11,310
120,12,337
121,1,360
122,2,342
123,3,406
124,4,396
125,5,420
126,6,472
127,7,548
128,8,559
129,9,463
130,10,407
131,11,362
132,12,405
133,1,417
134,2,391
135,3,419
136,4,461
137,5,472
138,6,535
139,7,622
140,8,606
141,9,508
142,10,461
143,11,390
144,12,432
